algorithm,run,learning_rate,gamma,n_steps,ent_coef,clip_range,gae_lambda,mean_reward,std_reward,mean_adherence,model_path
PPO_FOCUSED_V2,1,0.0007,0.98,512,0.005,0.2,0.95,-18.12702081402253,32.3268975144141,0.1527777777777777,models/pg/ppo_focused_v2_run_1
PPO_FOCUSED_V2,2,0.0006,0.99,512,0.003,0.2,0.95,-10.919154132250007,37.421724432070235,0.1930555555555555,models/pg/ppo_focused_v2_run_2
PPO_FOCUSED_V2,3,0.0005,0.985,768,0.005,0.2,0.96,23.585263889860517,65.62569642873652,0.391540801830785,models/pg/ppo_focused_v2_run_3
PPO_FOCUSED_V2,4,0.0004,0.99,1024,0.002,0.2,0.97,-19.98491859655215,29.584933062926044,0.1527777777777777,models/pg/ppo_focused_v2_run_4
PPO_FOCUSED_V2,5,0.0003,0.992,1024,0.001,0.2,0.97,4.4168755736187135,58.76559417098352,0.2410796375966654,models/pg/ppo_focused_v2_run_5
PPO_FOCUSED_V2,6,0.0008,0.975,512,0.008,0.2,0.95,15.488855681745024,59.141341834969,0.3408473836105415,models/pg/ppo_focused_v2_run_6
PPO_FOCUSED_V2,7,0.0005,0.99,1536,0.002,0.15,0.97,-20.974184571918677,51.41973061414627,0.1916666666666666,models/pg/ppo_focused_v2_run_7
PPO_FOCUSED_V2,8,0.0006,0.985,768,0.004,0.15,0.96,17.142881931893303,61.00172089709392,0.3388346315940986,models/pg/ppo_focused_v2_run_8
PPO_FOCUSED_V2,9,0.0004,0.995,1024,0.001,0.2,0.98,-36.23949145127194,32.64291572603927,0.1722222222222222,models/pg/ppo_focused_v2_run_9
PPO_FOCUSED_V2,10,0.0007,0.99,512,0.0,0.2,0.95,-21.314524865798568,36.80204138799868,0.1583333333333333,models/pg/ppo_focused_v2_run_10
